Step,Accuracy,Loss,0,1,2,3,4,ACA
0,55,1.36126124858856,0.849382698535919,0.100000001490116,0.180470794439316,0.143181815743446,0.125,0.279607062041759
1,13.960000038147,1.29572558403015,0.851851880550385,0.078645393252373,0.315457403659821,0.252336442470551,0.171355500817299,0.333929324150085
2,57.0400009155273,1.10231077671051,0.86258453130722,0.104685939848423,0.358823537826538,0.270386278629303,0.175280898809433,0.354352237284183
3,43.4599990844727,1.13093614578247,0.891503989696503,0.093010455369949,0.331891894340515,0.304526746273041,0.256410270929337,0.375468671321869
4,43.2799987792969,1.10380756855011,0.893418729305267,0.095143705606461,0.374074071645737,0.305676847696304,0.287610620260239,0.391184794902801
5,41.439998626709,1.10493350028992,0.895363390445709,0.092472121119499,0.398684203624725,0.333333343267441,0.24719101190567,0.393408814072609
6,51.0999984741211,1.05527782440186,0.888787627220154,0.103726707398891,0.40953716635704,0.330316752195358,0.278625965118408,0.40219884365797
7,53.2400016784668,1.03673088550568,0.889321208000183,0.104749515652657,0.430635839700699,0.340707957744598,0.297413796186447,0.412565663456917
8,54.2400016784668,1.02789568901062,0.88809722661972,0.105333335697651,0.446841299533844,0.346153855323791,0.284046679735184,0.414094479382038
9,49.8600006103516,1.07908165454865,0.895664572715759,0.106069892644882,0.386125653982162,0.310638308525085,0.26568266749382,0.392836219072342
