Step,Accuracy,Loss
0,46.2000007629395,1.20136332511902
1,53.2000007629395,1.12229871749878
2,47.7999992370606,1.22193038463593
3,57.5999984741211,0.923894286155701
4,60.5999984741211,0.9055997133255
5,59.4000015258789,0.917954325675964
6,62.4000015258789,0.89652955532074
7,60.4000015258789,0.904253661632538
8,60.5999984741211,0.912240207195282
9,60.7999992370606,0.906296014785767
10,62.2000007629395,0.903303802013397
11,61.5999984741211,0.906458735466003
12,60.5999984741211,0.901971518993378
13,62,0.906745851039886
14,61.7999992370605,0.898116946220398
