Step,Accuracy,Loss
0,50.5999984741211,1.16054964065552
1,47.7999992370606,1.17214047908783
2,48.4000015258789,1.15054047107697
3,58.7999992370605,0.95626962184906
4,58.4000015258789,0.938161551952362
5,57.7999992370606,0.928887188434601
6,59.2000007629395,0.916030883789062
7,57.7999992370606,0.957712352275848
8,58.4000015258789,0.952835023403168
9,58.2000007629395,0.913096845149994
10,58.4000015258789,0.927020847797394
11,58.4000015258789,0.939468622207642
12,57.7999992370606,0.95497852563858
13,58.7999992370605,0.959694385528564
14,58,0.939428448677063
