Step,Accuracy,Loss,0,1,2,3,4,ACA
0,31.1000003814697,1.24811291694641,0.80183357000351,0.083362892270088,0.469696968793869,0.370370358228683,0.123966939747334,0.369846145808697
1,52.7799987792969,1.15591299533844,0.875833332538605,0.09892638027668,0.354838699102402,0.254545450210571,0.237499997019768,0.364328771829605
2,56.1599998474121,1.10995304584503,0.857915639877319,0.102238804101944,0.386266082525253,0.347826093435287,0.215384617447853,0.381926247477531
3,41,1.13974738121033,0.830893516540527,0.081577770411968,0.353276342153549,0.306569337844849,0.186666667461395,0.351796726882458
4,62.2000007629395,1.07644701004028,0.867336988449097,0.114678896963596,0.420289844274521,0.288702934980392,0.198142409324646,0.37783021479845
5,59.0800018310547,1.02298927307129,0.876307249069214,0.106194689869881,0.479323297739029,0.331707328557968,0.279352217912674,0.414576956629753
6,63.2400016784668,0.994687139987946,0.869451701641083,0.116596639156342,0.472485780715942,0.319248825311661,0.286885231733322,0.41293363571167
7,65.6600036621094,0.962790608406067,0.872104108333588,0.118581905961037,0.463268369436264,0.34562212228775,0.367346942424774,0.433384689688683
8,56.060001373291,1.04324209690094,0.883173823356628,0.099843993782997,0.421265155076981,0.322448968887329,0.306306302547455,0.406607648730278
9,64.1800003051758,0.980225503444672,0.869678258895874,0.120940648019314,0.48019802570343,0.316742092370987,0.315270930528641,0.420565991103649
10,59.5,1.01142609119415,0.879795372486115,0.10940171033144,0.452344924211502,0.323275864124298,0.324999988079071,0.417963571846485
11,60.0200004577637,0.99785441160202,0.877697825431824,0.107784427702427,0.464788734912872,0.325791865587234,0.345549732446671,0.424322517216206
12,58.3600006103516,1.02311992645264,0.881336867809296,0.104340568184853,0.441997051239014,0.31746032834053,0.315533965826035,0.412133756279945
13,60.2400016784668,1.00788545608521,0.879669547080994,0.110207766294479,0.446268647909164,0.315789461135864,0.333333343267441,0.417053753137589
14,59.8199996948242,1.0040876865387,0.877749741077423,0.104761905968189,0.461049288511276,0.333333343267441,0.325358837842941,0.420450623333454
15,58.7400016784668,1.0205237865448,0.881040871143341,0.106633082032204,0.450076818466186,0.326359838247299,0.301310032606125,0.413084128499031
16,60.060001373291,1.01282823085785,0.879496395587921,0.107635691761971,0.438335806131363,0.327731102705002,0.306306302547455,0.411901059746742
17,56.9799995422363,1.02973663806915,0.882490277290344,0.102544330060482,0.444940477609634,0.331932783126831,0.313901335000992,0.415161840617657
18,57.2999992370606,1.012566447258,0.883146941661835,0.104135893285274,0.463258773088455,0.345291465520859,0.328431367874145,0.424852888286114
19,59.2999992370605,1.01512169837952,0.880558609962463,0.10572687536478,0.435092717409134,0.318548381328583,0.333333343267441,0.41465198546648
20,62.1800003051758,0.993597447872162,0.875255644321442,0.114432990550995,0.447204977273941,0.310924381017685,0.3177570104599,0.413115000724792
21,62.1599998474121,0.984586775302887,0.876674711704254,0.112608276307583,0.47335422039032,0.325892865657806,0.34042552113533,0.425791119039059
22,60.1199989318848,1.00882124900818,0.879124820232391,0.108910888433456,0.455118119716644,0.326180249452591,0.29613733291626,0.413094282150269
23,61.3600006103516,0.984518766403198,0.876650452613831,0.107887580990791,0.480066448450089,0.322580635547638,0.33500000834465,0.4244370251894
24,57.2000007629395,1.01334357261658,0.880568385124206,0.100666172802448,0.46962234377861,0.350230425596237,0.315068483352661,0.423231162130833
