Step,Accuracy,Loss
0,45.4000015258789,1.27340853214264
1,45.5999984741211,1.3502424955368
2,49.2000007629395,1.05860459804535
3,56.5999984741211,0.960637927055359
4,54.5999984741211,0.997581720352173
5,57,0.951915800571442
6,55.2000007629395,0.950180947780609
7,55.7999992370606,0.971710205078125
8,55.4000015258789,0.942647278308868
9,54.5999984741211,0.962669253349304
10,55,0.952776670455933
11,55.2000007629395,0.96459698677063
12,55.7999992370606,0.956637680530548
13,55,0.947098255157471
14,55.4000015258789,0.958434879779816
