Step,Accuracy,Loss
0,51.2000007629395,1.05458402633667
1,54.5999984741211,1.03515303134918
2,55.7999992370606,1.00232470035553
3,62.4000015258789,0.888177216053009
4,63,0.880168557167053
5,62.4000015258789,0.851529896259308
6,63.7999992370605,0.92652440071106
7,64.5999984741211,0.86100572347641
8,63.7999992370605,0.843261539936066
9,64,0.826949119567871
10,64.1999969482422,0.867447733879089
11,64.5999984741211,0.850541830062866
12,63.5999984741211,0.865599453449249
13,64.4000015258789,0.841905891895294
14,63.7999992370605,0.829765975475311
