Step,Accuracy,Loss,0,1,2,3,4,ACA
0,48.5999984741211,1.11446130275726,0.910798132419586,0.095139607787132,0.552188575267792,0.211618259549141,0.228643208742142,0.399677556753159
1,74.379997253418,0.857032597064972,0.902261912822723,0.182926833629608,0.703225791454315,0.36224490404129,0.365714281797409,0.503274744749069
2,75.8199996948242,0.934391736984253,0.86505538225174,0.209973752498627,0.653846144676209,0.354838699102402,0.259689927101135,0.468680781126022
3,67.3399963378906,0.868524134159088,0.932732343673706,0.151199996471405,0.663346588611603,0.377118647098541,0.515625,0.528004515171051
4,69.9400024414063,0.88359260559082,0.936486959457397,0.176278561353684,0.573129236698151,0.302114814519882,0.482014387845993,0.494004791975021
5,72.3000030517578,0.801636278629303,0.932913362979889,0.18395721912384,0.661052644252777,0.34736841917038,0.523076951503754,0.529673719406128
6,72.379997253418,0.809068739414215,0.934343457221985,0.188559323549271,0.658995807170868,0.356877326965332,0.496453911066055,0.527045965194702
7,74.6399993896484,0.780342042446137,0.928614437580108,0.206310674548149,0.683189630508423,0.354961842298508,0.530769228935242,0.540769162774086
8,72.2399978637695,0.817123770713806,0.934431433677673,0.191285863518715,0.655532360076904,0.343642622232437,0.515151500701904,0.528008756041527
9,73.4000015258789,0.794199407100678,0.931832194328308,0.200908064842224,0.66304349899292,0.340206176042557,0.539682567119598,0.535134500265121
10,72.379997253418,0.817638576030731,0.934576511383056,0.192391306161881,0.652892589569092,0.340136051177979,0.5,0.523999291658402
11,72.5199966430664,0.811346471309662,0.93482369184494,0.192432433366775,0.651991605758667,0.340136051177979,0.53125,0.530126756429672
12,73.6999969482422,0.789334297180176,0.930168449878693,0.203939750790596,0.661605179309845,0.351254492998123,0.522727251052856,0.533939024806023
13,72.8000030517578,0.801656246185303,0.934462189674377,0.196351930499077,0.658898293972015,0.347517728805542,0.544000029563904,0.536246034502983
14,73.7399978637695,0.785324811935425,0.930759787559509,0.201142862439156,0.671023964881897,0.352941185235977,0.530769228935242,0.537327405810356
