Step,Accuracy,Loss,0,1,2,3,4,ACA
0,73.879997253418,0.9053835272789,0.852321743965149,0.146604940295219,0.662551462650299,0.483333319425583,0.462962955236435,0.521554884314537
1,68.9199981689453,1.02720880508423,0.891804218292236,0.115384615957737,0.494145184755325,0.235099330544472,0.26274511218071,0.399835692346096
2,63.1599998474121,1.16771018505096,0.900295197963715,0.094991363584995,0.434137284755707,0.25,0.133793100714684,0.36264338940382
3,67.4400024414063,0.953892171382904,0.930645704269409,0.145436301827431,0.569983124732971,0.304635763168335,0.403314918279648,0.470803162455559
4,76.0599975585938,0.75063556432724,0.9142045378685,0.207334280014038,0.709273159503937,0.348360657691956,0.546875,0.545209527015686
5,59.3199996948242,1.02485752105713,0.94028627872467,0.123348020017147,0.483113080263138,0.280701756477356,0.43529412150383,0.452548651397228
6,72.379997253418,0.805941104888916,0.926099181175232,0.181528657674789,0.677282392978668,0.343511462211609,0.584745764732361,0.542633491754532
7,70.379997253418,0.839485883712769,0.926979005336762,0.163346618413925,0.649999976158142,0.328571438789368,0.570247948169708,0.527828997373581
8,74.2799987792969,0.790782868862152,0.920691728591919,0.19416244328022,0.678958773612976,0.341176480054855,0.51408451795578,0.52981478869915
9,69.6600036621094,0.877284407615662,0.928641259670258,0.158659219741821,0.564459919929504,0.300309598445892,0.503597140312195,0.491133427619934
