Step,Accuracy,Loss,0,1,2,3,4,ACA
0,68.4000015258789,1.0038560628891,0.862860321998596,0.132110089063644,0.501805067062378,0.28571429848671,0.155555561184883,0.387609067559242
1,74.5199966430664,0.920713245868683,0.844493508338928,0.155339807271957,0.624365508556366,0.359375,0.22837370634079,0.442389506101608
2,73.0400009155273,0.784991502761841,0.880053520202637,0.160112366080284,0.572614133358002,0.334951460361481,0.415094345808029,0.472565165162086
3,62.7599983215332,1.17650496959686,0.905653953552246,0.163487732410431,0.300113260746002,0.229974165558815,0.152224823832512,0.350290787220001
4,73.1399993896484,0.848646581172943,0.910099267959595,0.194690272212029,0.567164182662964,0.338095247745514,0.461538463830948,0.49431748688221
5,74.0800018310547,0.81106972694397,0.921643972396851,0.201474204659462,0.6431924700737,0.335968375205994,0.512000024318695,0.52285580933094
6,76.5199966430664,0.782598555088043,0.916242241859436,0.239864870905876,0.625541150569916,0.351020395755768,0.425149708986282,0.511563673615456
7,72.2200012207031,0.823360741138458,0.927199482917785,0.191964283585548,0.617154836654663,0.338983058929443,0.43827161192894,0.502714654803276
8,74.1800003051758,0.814499080181122,0.926924228668213,0.225251078605652,0.559259235858917,0.322580635547638,0.448275864124298,0.496458208560944
9,72.5800018310547,0.847782075405121,0.931375563144684,0.208791211247444,0.532871961593628,0.294871807098389,0.435374140739441,0.480656936764717
10,73.7600021362305,0.809513509273529,0.928223848342896,0.221928671002388,0.580704987049103,0.326007336378098,0.461538463830948,0.503680661320686
11,72.9599990844727,0.823788702487946,0.93011748790741,0.208762884140015,0.55923342704773,0.328358203172684,0.466216206550598,0.498537641763687
12,73.1999969482422,0.815469622612,0.930619776248932,0.213216960430145,0.583025813102722,0.33206108212471,0.450331121683121,0.501850950717926
13,74.5999984741211,0.792492985725403,0.926887512207031,0.221428573131561,0.588454365730285,0.323420077562332,0.461538463830948,0.504345798492432
14,74.4400024414063,0.791380167007446,0.92514169216156,0.223175972700119,0.589595377445221,0.321167886257172,0.451612889766693,0.502138763666153
15,73.5400009155273,0.811896502971649,0.929878056049347,0.21581768989563,0.571955740451813,0.310954064130783,0.45637583732605,0.496996277570725
16,72.3000030517578,0.820531487464905,0.931455373764038,0.201212123036385,0.574275374412537,0.317689538002014,0.450331121683121,0.494992706179619
17,74.120002746582,0.79976886510849,0.928270041942596,0.22056832909584,0.594541907310486,0.323420077562332,0.440993785858154,0.501558828353882
18,75.0999984741211,0.787481129169464,0.927024602890015,0.233766227960587,0.602294445037842,0.321705430746078,0.451612889766693,0.507280719280243
19,74.0400009155273,0.796123862266541,0.927540600299835,0.217021271586418,0.57570093870163,0.310954064130783,0.450331121683121,0.496309599280357
20,74.1399993896484,0.802728652954102,0.927903473377228,0.222373813390732,0.589694678783417,0.327137559652328,0.446540892124176,0.502730083465576
21,73.8199996948242,0.80304342508316,0.927729070186615,0.218997359275818,0.594488203525543,0.319702595472336,0.436708867549896,0.499525219202042
22,75.2799987792969,0.776678085327148,0.925000011920929,0.231332361698151,0.603921592235565,0.329365074634552,0.451612889766693,0.508246386051178
23,74.879997253418,0.78446501493454,0.927441000938416,0.223880603909492,0.614785969257355,0.352459013462067,0.455128192901611,0.514738956093788
24,72.6399993896484,0.81873232126236,0.930167615413666,0.205357149243355,0.564285695552826,0.315602838993072,0.453947365283966,0.493872132897377
